Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
PG,279421.63000001013,0.2345%,147.09,0.43%,147.0107,9491676.528713,5.43%,119444322.09,119164900.46
RTX,274190.2800000012,0.3302%,176.07,1.90%,175.5724,6224406.696435,17.94%,83308097.07,83033906.78999999
HUMA,269964.0,3.8426%,0.8418,2.66%,0.8342,2904740.011681,-16.11%,7295543.0,7025579.0
COP,265856.5300000012,0.3515%,125.78,-1.93%,126.2942,11948021.308533,23.47%,75897513.87,75631657.34
AMAT,261051.90000000596,0.3376%,394.49,3.11%,392.118,7050013.646105,38.87%,77588115.49000001,77327063.59
EVRG,244095.51000000164,1.0518%,82.84,1.86%,82.7849,2828554.423326,100.07%,23452515.84,23208420.33
TMUS,243914.3299999982,0.4277%,195.5,-1.35%,196.0746,5092231.332185,-48.45%,57271210.5,57027296.17
1810 HK,243000.0,1.4961%,0.0,0.00%,0.0,0.0,0.00%,16485000.0,16242000.0
BRK.B,239911.0,0.6357%,473.6,-0.37%,474.3988,5109302.945346,60.91%,37977388.0,37737477.0
SYY,238370.7400000021,0.6791%,74.71,1.00%,74.7289,4713796.331868,-17.86%,35340662.71,35102291.97
BMY,233851.0,0.2320%,60.59,5.21%,60.1948,24880099.738795,162.95%,101031269.59,100797418.59
ORLY,229858.7100000009,0.3643%,99.4,8.41%,98.6476,11141078.694021,97.84%,63325673.4,63095814.69
TDUP,227627.0,5.3932%,4.29,-0.69%,4.2882,2834319.234117,73.53%,4448283.0,4220656.0
MO,222408.45000000298,0.2388%,72.65,6.52%,72.5412,24768884.518943,105.39%,93371199.65,93148791.2
HON,221970.0300000012,0.4333%,214.33,1.92%,213.9823,4128592.008867,-8.31%,51453813.33,51231843.3
TFC,221825.84999999404,0.2617%,51.5,1.68%,51.3512,7648445.496189,11.34%,84991561.5,84769735.65
SFIX,221595.0,4.3664%,3.64,-0.82%,3.6339,1970109.624362,92.63%,5296639.0,5075044.0
GE,221156.3599999994,0.3460%,289.93,2.24%,289.5762,7603442.44894,-22.57%,64145661.93,63924505.57
300124 C2,216000.0,1.5104%,0.0,0.00%,0.0,0.0,0.00%,14516624.0,14300624.0
CTAS,215096.76000000164,0.7394%,174.71,0.44%,174.5486,2808518.939606,75.32%,29304079.71,29088982.95
BKNG,212326.38000000268,0.3653%,168.36,-3.23%,169.2297,8644772.365994,-29.45%,58336721.36,58124394.98
SHOP,211341.0,0.6359%,121.13,-0.11%,120.8883,6800370.395729,32.15%,33447184.0,33235843.0
OXY,208367.8200000003,0.4037%,60.58,-0.30%,60.2416,12990343.021621,-6.02%,51823686.58,51615318.76
ACHR,207942.0,0.3535%,5.74,2.50%,5.7409,27121821.919066,15.76%,59026224.0,58818282.0
BA,202808.9200000018,0.3558%,229.03,2.20%,228.0641,4849361.007894,-23.94%,57196886.03,56994077.11
RXRX,201575.0,0.5183%,3.46,4.85%,3.464,13200199.98535,8.20%,39091784.0,38890209.0
AMGN,199749.22999999672,0.4215%,346.25,2.43%,346.7324,3592563.847616,43.96%,47584384.25,47384635.02
NGEX CN,196921.0,3.6847%,0.0,0.00%,0.0,0.0,0.00%,5541142.0,5344221.0
BSX,196004.45999999344,0.2671%,57.61,0.80%,57.1367,21709391.876816,5.05%,73576992.61,73380988.15
GO,191745.0,1.3474%,7.91,2.86%,7.9115,3160359.348535,28.58%,14422161.0,14230416.0
LBTYA,187881.0,4.2806%,11.58,1.58%,11.5762,3879806.709007,91.47%,4577037.0,4389156.0
CVS,183630.3899999857,0.2707%,83.29,-0.73%,83.2737,8332099.140719,9.49%,68006631.28999999,67823000.9
CLX,183597.66999999993,1.6352%,96.44,1.76%,95.9559,4714245.916479,22.51%,11411591.44,11227993.77
CTRA,182230.22999999672,0.2831%,35.91,0.64%,35.7436,5859865.6491,-43.85%,64557071.91,64374841.68
