ticker,Total_Shares,ETF_Count,Holding_ETFs
GSBC,322467.0,5,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, SMLV美国小型股低波动率指数, IWC微型股"
HUB,322177.0,1,SCZ小型股
CMDB,322157.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
EDR,321421.0,1,SCZ小型股
BMEA,321280.0,2,"IWC微盘股, IWC微型股"
KNX,321210.0,3,"ISCG小型股成长, MDYV中型市值价值, IYJ美国工业"
ITT,320602.0,7,"IDEF国防工业主动型, SQLT美国小型股质量因子, MDYG中型成长股, 自动驾驶及电动汽车DRIV, ISCG小型股成长, IYJ美国工业, THRO美国主题轮动"
PLBY,320556.0,2,"IWC微盘股, IWC微型股"
NREF,320173.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
MDV,319589.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
MCB,318511.0,4,"IWC微盘股, IWN罗素 2000 价值, IWM罗素小盘股2000指数, IWC微型股"
